iter	Passed	Remaining
721	1577	607
722	1578	604
723	1579	602
724	1580	599
725	1581	596
726	1584	594
727	1585	592
728	1586	589
729	1587	587
730	1588	584
731	1589	582
732	1590	579
733	1591	576
734	1592	574
735	1593	571
736	1594	568
737	1595	566
738	1596	563
739	1599	561
740	1600	559
741	1600	556
742	1601	554
743	1602	551
744	1603	548
745	1604	546
746	1605	543
747	1606	541
748	1607	538
749	1608	536
750	1609	533
751	1610	531
752	1613	529
753	1614	526
754	1615	524
755	1616	521
756	1616	519
757	1617	516
758	1618	513
759	1619	511
760	1620	509
761	1621	506
762	1622	503
763	1623	501
764	1624	498
765	1625	496
766	1627	494
767	1628	491
768	1629	489
769	1630	486
770	1631	484
771	1632	482
772	1633	479
773	1634	477
774	1635	474
775	1636	472
776	1637	469
777	1638	467
778	1638	464
779	1641	463
780	1642	460
781	1643	458
782	1645	455
783	1646	453
784	1647	451
785	1647	448
786	1648	446
787	1649	443
788	1650	441
789	1651	439
790	1652	436
791	1653	434
792	1656	432
793	1657	430
794	1658	427
795	1659	425
796	1660	422
797	1661	420
798	1663	418
799	1664	416
800	1665	413
801	1666	411
802	1667	409
803	1669	406
804	1670	404
805	1671	402
806	1672	399
807	1673	397
808	1674	395
809	1675	393
810	1676	390
811	1677	388
812	1678	386
813	1679	383
814	1680	381
815	1681	379
816	1684	377
817	1685	374
818	1686	372
819	1687	370
820	1688	368
821	1689	365
822	1689	363
823	1690	361
824	1691	358
825	1692	356
826	1693	354
827	1694	352
828	1695	349
829	1698	347
830	1699	345
831	1700	343
832	1701	341
833	1702	338
834	1703	336
835	1704	334
836	1705	332
837	1706	329
838	1707	327
839	1708	325
840	1709	323
841	1722	323
842	1724	321
843	1725	318
844	1726	316
845	1728	314
846	1729	312
847	1731	310
848	1732	308
849	1733	305
850	1734	303
851	1735	301
852	1736	299
853	1737	296
854	1737	294
855	1738	292
856	1739	290
857	1742	288
858	1744	286
859	1746	284
860	1747	282
861	1748	279
862	1750	277
863	1751	275
864	1752	273
865	1753	271
866	1754	269
867	1756	267
868	1757	264
869	1758	262
870	1759	260
871	1760	258
872	1761	256
873	1762	254
874	1763	251
875	1764	249
876	1765	247
877	1766	245
878	1766	243
879	1767	241
880	1769	239
881	1771	236
882	1772	234
883	1773	232
884	1774	230
885	1775	228
886	1776	226
887	1777	224
888	1778	222
889	1779	219
890	1780	217
891	1781	215
892	1782	213
893	1784	211
894	1786	209
895	1787	207
896	1788	205
897	1789	203
898	1790	201
899	1791	199
900	1792	196
901	1793	194
902	1794	192
903	1795	190
904	1796	188
905	1799	186
906	1800	184
907	1801	182
908	1802	180
909	1803	178
910	1804	176
911	1805	174
912	1806	172
913	1807	170
914	1809	168
915	1810	165
916	1811	163
917	1813	161
918	1814	159
919	1816	157
920	1817	155
921	1818	153
922	1819	151
923	1820	149
924	1821	147
925	1822	145
926	1823	143
927	1824	141
928	1826	139
929	1828	137
930	1829	135
931	1830	133
932	1831	131
933	1832	129
934	1833	127
935	1834	125
936	1835	123
937	1836	121
938	1837	119
939	1839	117
940	1841	115
941	1842	113
942	1843	111
943	1844	109
944	1845	107
945	1846	105
946	1847	103
947	1848	101
948	1849	99
949	1850	97
950	1851	95
951	1852	93
952	1854	91
953	1856	89
954	1857	87
955	1858	85
956	1859	83
957	1860	81
958	1861	79
959	1862	77
960	1863	75
961	1864	73
962	1865	71
963	1866	69
964	1867	67
965	1868	65
966	1871	63
967	1872	61
968	1873	59
969	1874	57
970	1875	56
971	1876	54
972	1877	52
973	1878	50
974	1879	48
975	1880	46
976	1881	44
977	1882	42
978	1885	40
979	1886	38
980	1887	36
981	1888	34
982	1889	32
983	1891	30
984	1891	28
985	1892	26
986	1893	24
987	1894	23
988	1895	21
989	1896	19
990	1899	17
991	1900	15
992	1901	13
993	1902	11
994	1903	9
995	1904	7
996	1905	5
997	1906	3
998	1907	1
999	1908	0
